RRP,dayofweek,month,day,season,is_weekend,is_month_start,is_month_end,is_quarter_start,topattn,attention,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,ds,unique_id,y
52.31,4,1,1,1,0,1,0,1,-0.20284735,0.05357319,25.52,48.34,0.0,1011.0,55.8,15.62,2016-01-01 00:00:00,True,5531.54
38.29,4,1,1,1,0,1,0,1,-0.083137505,0.22233106,26.61,41.22,0.0,1011.0,51.9,15.65,2016-01-01 01:00:00,True,4934.54
31.28,4,1,1,1,0,1,0,1,0.5498562,-0.026101386,27.4,36.94,0.0,1010.5,55.2,15.38,2016-01-01 02:00:00,True,4541.24
22.49,4,1,1,1,0,1,0,1,-0.6608062,0.11020699,27.77,35.72,0.0,1010.5,50.4,17.19,2016-01-01 03:00:00,True,4225.93
22.2,4,1,1,1,0,1,0,1,-0.915547,0.088397354,27.11,37.84,0.0,1010.5,39.6,19.02,2016-01-01 04:00:00,True,4131.72
22.51,4,1,1,1,0,1,0,1,1.1185127,0.18062393,26.52,40.38,0.0,1010.5,33.6,20.78,2016-01-01 05:00:00,True,4107.57
22.31,4,1,1,1,0,1,0,1,0.21295424,0.0014095703,25.52,44.12,0.0,1011.0,33.0,19.94,2016-01-01 06:00:00,True,4147.24
26.83,4,1,1,1,0,1,0,1,0.096009836,0.20875697,23.4,57.2,0.0,1011.0,42.9,18.44,2016-01-01 07:00:00,True,4293.51
32.03,4,1,1,1,0,1,0,1,-0.0933342,0.118111074,21.9,65.5,0.0,1011.5,46.8,18.64,2016-01-01 08:00:00,True,4450.14
33.97,4,1,1,1,0,1,0,1,-0.17032588,0.06657126,20.27,75.1,0.0,1012.0,56.4,18.44,2016-01-01 09:00:00,True,4659.07
33.95,4,1,1,1,0,1,0,1,-0.043100648,0.029755795,18.9,81.44,0.0,1012.5,90.6,16.52,2016-01-01 10:00:00,True,4860.72
36.04,4,1,1,1,0,1,0,1,0.4301832,0.032197136,18.16,84.8,0.0,1013.5,100.0,16.28,2016-01-01 11:00:00,True,5131.9
34.69,4,1,1,1,0,1,0,1,-0.20474598,0.23786299,17.77,85.56,0.0,1013.5,100.0,14.24,2016-01-01 12:00:00,True,5326.05
36.74,4,1,1,1,0,1,0,1,-0.07987942,0.21951117,17.45,85.8,0.0,1013.5,100.0,14.375,2016-01-01 13:00:00,True,5440.7
35.77,4,1,1,1,0,1,0,1,0.55157,0.016594619,17.06,86.9,0.0,1013.5,97.5,14.04,2016-01-01 14:00:00,True,5534.46
34.98,4,1,1,1,0,1,0,1,-0.6519208,0.06387793,16.81,87.44,0.0,1013.0,100.0,14.98,2016-01-01 15:00:00,True,5631.16
33.33,4,1,1,1,0,1,0,1,-0.92230034,0.04059458,16.66,87.44,0.0,1013.0,100.0,15.62,2016-01-01 16:00:00,True,5646.13
36.3,4,1,1,1,0,1,0,1,1.1243126,0.01750503,16.4,83.5,0.0,1013.0,100.0,15.31,2016-01-01 17:00:00,True,5512.2
33.31,4,1,1,1,0,1,0,1,0.2164894,0.061525717,16.4,82.2,0.2,1013.0,100.0,15.26,2016-01-01 18:00:00,True,5213.02
31.14,4,1,1,1,0,1,0,1,0.094852924,0.09670404,16.61,84.06,0.0,1013.5,100.0,14.69,2016-01-01 19:00:00,True,4913.41
35.09,4,1,1,1,0,1,0,1,-0.09194337,0.04398516,17.02,80.4,0.0,1014.0,100.0,13.8,2016-01-01 20:00:00,True,4787.69
34.55,4,1,1,1,0,1,0,1,-0.16663232,0.12709785,17.77,74.44,0.0,1014.0,100.0,14.62,2016-01-01 21:00:00,True,4626.77
32.07,4,1,1,1,0,1,0,1,-0.045042425,0.15430503,18.56,70.1,0.0,1014.0,93.9,14.42,2016-01-01 22:00:00,True,4320.02
28.2,4,1,1,1,0,1,0,1,0.43575776,0.09473062,20.06,62.62,0.0,1013.5,82.2,14.49,2016-01-01 23:00:00,True,4226.59
32.36,5,1,2,1,1,0,0,0,-0.2070007,0.08588687,22.06,55.4,0.0,1013.0,80.4,15.26,2016-01-02 00:00:00,True,4488.35
22.06,5,1,2,1,1,0,0,0,-0.08020926,0.15629613,24.4,48.38,0.0,1012.5,58.8,15.98,2016-01-02 01:00:00,True,4026.8
18.15,5,1,2,1,1,0,0,0,0.55302167,0.19960777,25.56,47.12,0.0,1011.5,19.2,17.52,2016-01-02 02:00:00,True,3710.01
14.76,5,1,2,1,1,0,0,0,-0.6471498,0.026477367,26.27,45.22,0.0,1011.0,14.4,19.66,2016-01-02 03:00:00,True,3507.28
14.51,5,1,2,1,1,0,0,0,-0.9254484,0.011415469,26.16,47.6,0.0,1010.0,15.6,21.33,2016-01-02 04:00:00,True,3430.83
20.45,5,1,2,1,1,0,0,0,1.1250046,-0.020932535,25.66,50.97,0.0,1009.5,75.0,21.86,2016-01-02 05:00:00,True,3480.47
20.79,5,1,2,1,1,0,0,0,0.21739174,-0.036751125,24.52,56.0,0.0,1008.5,100.0,25.61,2016-01-02 06:00:00,True,3574.83
21.97,5,1,2,1,1,0,0,0,0.0990721,0.08110942,25.02,52.62,0.0,1009.5,100.0,25.7,2016-01-02 07:00:00,True,3799.22
24.51,5,1,2,1,1,0,0,0,-0.09038891,0.27795678,23.31,58.66,0.0,1010.5,100.0,24.06,2016-01-02 08:00:00,True,3939.26
23.95,5,1,2,1,1,0,0,0,-0.16414464,0.26434025,21.81,62.4,0.0,1011.5,76.2,24.19,2016-01-02 09:00:00,True,4033.96
24.15,5,1,2,1,1,0,0,0,-0.046694398,0.18571924,20.4,66.7,0.0,1012.0,55.8,21.4,2016-01-02 10:00:00,True,4100.68
23.65,5,1,2,1,1,0,0,0,0.44198352,0.103681855,19.31,70.75,0.0,1012.5,19.8,19.4,2016-01-02 11:00:00,True,4136.98
23.38,5,1,2,1,1,0,0,0,-0.20514216,0.16003929,18.52,73.9,0.0,1013.0,19.8,17.78,2016-01-02 12:00:00,True,4201.88
23.52,5,1,2,1,1,0,0,0,-0.08362001,0.2159913,17.86,76.44,0.0,1013.0,11.7,18.22,2016-01-02 13:00:00,True,4293.75
21.98,5,1,2,1,1,0,0,0,0.55188054,0.0167777,17.4,78.1,0.0,1013.0,45.0,18.08,2016-01-02 14:00:00,True,4435.42
24.73,5,1,2,1,1,0,0,0,-0.6549422,0.20316358,17.16,78.9,0.0,1012.5,69.6,18.1,2016-01-02 15:00:00,True,4631.25
25.07,5,1,2,1,1,0,0,0,-0.9210232,0.081778325,17.06,78.9,0.0,1012.5,64.2,18.6,2016-01-02 16:00:00,True,4863.76
24.74,5,1,2,1,1,0,0,0,1.1198456,0.13252151,16.95,78.8,0.1,1012.5,73.5,17.2,2016-01-02 17:00:00,True,4908.37
20.25,5,1,2,1,1,0,0,0,0.21526605,0.14886843,16.81,79.3,0.0,1013.0,57.9,15.695,2016-01-02 18:00:00,True,4789.49
12.4,5,1,2,1,1,0,0,0,0.102182254,0.09727666,16.56,81.6,0.2,1013.0,41.4,15.07,2016-01-02 19:00:00,True,4546.48
20.16,5,1,2,1,1,0,0,0,-0.09089658,-0.058832098,16.9,79.9,0.0,1013.5,42.0,15.81,2016-01-02 20:00:00,True,4359.32
23.15,5,1,2,1,1,0,0,0,-0.16647841,-0.011336644,17.95,73.5,0.0,1014.0,27.3,16.48,2016-01-02 21:00:00,True,4336.96
22.37,5,1,2,1,1,0,0,0,-0.044673048,0.01302434,19.56,65.44,0.0,1014.5,20.7,16.44,2016-01-02 22:00:00,True,4039.36
19.91,5,1,2,1,1,0,0,0,0.4381413,0.04675131,21.31,58.38,0.1,1014.5,16.2,16.1,2016-01-02 23:00:00,True,4006.27
29.21,6,1,3,1,1,0,0,0,-0.20389408,0.1894012,22.95,52.62,0.0,1014.0,30.6,15.14,2016-01-03 00:00:00,True,4350.94
17.73,6,1,3,1,1,0,0,0,-0.0874064,0.0020574555,24.66,45.97,0.0,1013.5,20.7,14.38,2016-01-03 01:00:00,True,3854.25
12.98,6,1,3,1,1,0,0,0,0.55063546,0.00029230738,25.02,46.22,0.0,1013.5,20.7,14.484,2016-01-03 02:00:00,True,3541.25
6.09,6,1,3,1,1,0,0,0,-0.66229635,0.022812933,25.36,45.56,0.0,1013.0,25.8,16.1,2016-01-03 03:00:00,True,3408.93
3.21,6,1,3,1,1,0,0,0,-0.91565293,0.09330655,25.02,46.7,0.1,1012.0,37.5,17.84,2016-01-03 04:00:00,True,3338.22
8.74,6,1,3,1,1,0,0,0,1.1144285,0.09452996,24.27,49.47,0.3,1012.0,50.1,20.78,2016-01-03 05:00:00,True,3373.17
12.12,6,1,3,1,1,0,0,0,0.21289894,0.01357906,23.52,51.75,0.0,1012.5,80.7,17.11,2016-01-03 06:00:00,True,3375.15
15.39,6,1,3,1,1,0,0,0,0.10504036,0.20915855,23.52,53.62,0.0,1012.5,32.7,16.64,2016-01-03 07:00:00,True,3562.89
16.89,6,1,3,1,1,0,0,0,-0.091734976,-0.01780525,22.36,57.7,0.0,1013.0,32.4,18.36,2016-01-03 08:00:00,True,3676.66
22.2,6,1,3,1,1,0,0,0,-0.16872014,0.019503891,21.45,61.34,0.0,1014.0,33.6,17.42,2016-01-03 09:00:00,True,3898.42
21.97,6,1,3,1,1,0,0,0,-0.042795375,0.25531343,20.27,66.25,0.0,1014.0,42.3,14.336,2016-01-03 10:00:00,True,4055.59
22.71,6,1,3,1,1,0,0,0,0.43404466,0.100093275,19.45,69.4,0.0,1015.0,48.3,14.19,2016-01-03 11:00:00,True,4187.46
24.08,6,1,3,1,1,0,0,0,-0.19962859,0.016546054,19.02,71.8,0.0,1015.0,39.6,13.516,2016-01-03 12:00:00,True,4329.36
23.87,6,1,3,1,1,0,0,0,-0.091458686,0.18698174,18.56,74.4,0.0,1015.0,34.8,13.75,2016-01-03 13:00:00,True,4374.77
25.82,6,1,3,1,1,0,0,0,0.5448026,0.012203927,18.11,77.0,0.0,1015.5,29.7,12.22,2016-01-03 14:00:00,True,4416.11
24.64,6,1,3,1,1,0,0,0,-0.6778909,0.368085,17.61,79.7,0.0,1015.0,37.8,11.46,2016-01-03 15:00:00,True,4594.17
24.03,6,1,3,1,1,0,0,0,-0.89983946,0.075725205,17.27,81.75,0.0,1014.5,40.5,10.234,2016-01-03 16:00:00,True,4715.17
24.81,6,1,3,1,1,0,0,0,1.1033556,0.10298415,16.95,83.56,0.0,1014.5,54.0,8.29,2016-01-03 17:00:00,True,4659.35
22.52,6,1,3,1,1,0,0,0,0.20623231,0.24361354,16.7,84.94,0.0,1015.0,69.3,7.29,2016-01-03 18:00:00,True,4560.41
19.79,6,1,3,1,1,0,0,0,0.09843071,0.044634104,16.61,86.3,0.0,1015.5,62.4,6.926,2016-01-03 19:00:00,True,4373.36
23.17,6,1,3,1,1,0,0,0,-0.0966858,0.03006644,16.81,86.06,0.1,1016.0,39.6,7.902,2016-01-03 20:00:00,True,4369.13
25.19,6,1,3,1,1,0,0,0,-0.17795329,0.21398087,17.56,82.56,0.1,1016.5,49.5,9.03,2016-01-03 21:00:00,True,4410.32
24.75,6,1,3,1,1,0,0,0,-0.04010068,0.00656536,18.4,79.06,0.1,1017.0,56.4,8.375,2016-01-03 22:00:00,True,4151.25
18.58,6,1,3,1,1,0,0,0,0.41936278,0.06821454,19.45,75.5,0.6,1017.0,55.8,9.51,2016-01-03 23:00:00,True,4050.85
28.32,0,1,4,1,0,0,0,0,-0.20245135,0.087117635,20.4,72.75,0.3,1017.0,50.4,10.97,2016-01-04 00:00:00,True,4395.86
21.26,0,1,4,1,0,0,0,0,-0.08652523,0.24173467,21.2,69.75,0.1,1017.0,52.2,10.14,2016-01-04 01:00:00,True,3986.92
17.74,0,1,4,1,0,0,0,0,0.5491861,0.06792673,21.4,67.1,0.0,1016.5,45.6,11.27,2016-01-04 02:00:00,True,3741.81
15.11,0,1,4,1,0,0,0,0,-0.66589326,0.082970165,22.95,59.53,0.0,1015.5,19.2,16.88,2016-01-04 03:00:00,True,3560.15
16.35,0,1,4,1,0,0,0,0,-0.9113786,0.030397275,23.27,56.4,0.0,1015.0,36.3,18.1,2016-01-04 04:00:00,True,3602.01
19.87,0,1,4,1,0,0,0,0,1.1134318,0.019180909,22.45,58.1,0.6,1015.0,80.1,19.17,2016-01-04 05:00:00,True,3826.74
23.87,0,1,4,1,0,0,0,0,0.21030386,0.11947618,22.11,58.0,0.5,1014.5,89.4,15.46,2016-01-04 06:00:00,True,4188.38
33.16,0,1,4,1,0,0,0,0,0.099629015,0.025369853,22.36,53.7,0.0,1014.5,39.0,14.69,2016-01-04 07:00:00,True,4769.58
33.01,0,1,4,1,0,0,0,0,-0.0934041,-0.041789073,22.11,52.9,0.0,1014.5,40.2,15.72,2016-01-04 08:00:00,True,4994.04
35.84,0,1,4,1,0,0,0,0,-0.17219841,-0.088588096,21.02,55.5,0.2,1015.5,40.5,15.62,2016-01-04 09:00:00,True,5114.82
33.87,0,1,4,1,0,0,0,0,-0.04243099,0.065134205,19.77,59.56,0.0,1015.5,37.8,13.69,2016-01-04 10:00:00,True,5109.61
33.35,0,1,4,1,0,0,0,0,0.42912897,0.017694006,18.7,63.56,0.0,1016.0,40.5,14.62,2016-01-04 11:00:00,True,5094.67
31.61,0,1,4,1,0,0,0,0,-0.20449817,0.063606404,17.9,66.6,0.0,1016.0,30.6,15.41,2016-01-04 12:00:00,True,5123.74
31.44,0,1,4,1,0,0,0,0,-0.08431007,0.064268515,17.31,69.44,0.0,1016.0,27.9,13.9,2016-01-04 13:00:00,True,5104.53
30.87,0,1,4,1,0,0,0,0,0.5514443,0.05128054,16.81,72.1,0.0,1015.5,47.1,11.305,2016-01-04 14:00:00,True,5129.16
27.21,0,1,4,1,0,0,0,0,-0.6568965,0.027069105,16.52,74.0,0.0,1014.5,45.9,9.73,2016-01-04 15:00:00,True,5166.35
27.43,0,1,4,1,0,0,0,0,-0.91990376,0.043564443,16.11,77.2,0.0,1014.0,55.2,7.387,2016-01-04 16:00:00,True,5233.81
27.4,0,1,4,1,0,0,0,0,1.1192006,0.030835947,15.51,81.8,0.0,1014.0,66.3,4.61,2016-01-04 17:00:00,True,5250.78
22.87,0,1,4,1,0,0,0,0,0.21504283,0.09310117,15.164,85.0,0.0,1014.0,62.4,3.707,2016-01-04 18:00:00,True,4986.72
19.29,0,1,4,1,0,0,0,0,0.10209344,0.00798983,16.2,80.0,0.0,1014.0,27.6,1.8,2016-01-04 19:00:00,True,4710.9
17.8,0,1,4,1,0,0,0,0,-0.091196105,-0.075796105,16.52,79.8,0.0,1014.5,35.7,2.305,2016-01-04 20:00:00,True,4639.28
