attention,temperature_2m,relative_humidity_2m,precipitation,snow_depth,surface_pressure,cloud_cover,wind_speed_10m,dayofweek,month,day,season,is_weekend,is_month_start,is_month_end,is_quarter_start,days_since_start_of_year,week_day,topattn,ds,unique_id,y
0,8.64,85.5,0,0,999,100,2.545,4,1,1,1,0,1,0,1,0,1,-0.34966955,01/01/2016 00:00,TRUE,0
0,8.586,85.44,0.1,0,999.5,100,2.277,4,1,1,1,0,1,0,1,0,1,0.474393,01/01/2016 01:00,TRUE,0
-0.04256062,8.39,86.6,0,0,999.5,100,1.836,4,1,1,1,0,1,0,1,0,1,1.6343358,01/01/2016 02:00,TRUE,1
0.17554443,7.39,91.44,0,0,999.5,100,3.617,4,1,1,1,0,1,0,1,0,1,0.4265285,01/01/2016 03:00,TRUE,1
0,6.938,93.7,0,0,999,100,3.758,4,1,1,1,0,1,0,1,0,1,-0.44363275,01/01/2016 04:00,TRUE,0
0,6.74,94,0,0,999,100,3.895,4,1,1,1,0,1,0,1,0,1,-0.035846688,01/01/2016 05:00,TRUE,0
0,6.688,92.7,0,0,998.5,100,2.902,4,1,1,1,0,1,0,1,0,1,-0.7622144,01/01/2016 06:00,TRUE,0
-0.21848021,6.84,93.4,0,0,998.5,100,2.277,4,1,1,1,0,1,0,1,0,1,0.4316611,01/01/2016 07:00,TRUE,2
0.003465931,6.14,94.3,0,0,998,81.3,2.969,4,1,1,1,0,1,0,1,0,1,-0.6735235,01/01/2016 08:00,TRUE,2
0,6.938,94,0,0,997.5,61.8,2.902,4,1,1,1,0,1,0,1,0,1,-0.16538276,01/01/2016 09:00,TRUE,0
0,8.79,90.3,0,0,998,50.4,2.305,4,1,1,1,0,1,0,1,0,1,-1.1167977,01/01/2016 10:00,TRUE,0
-0.11263818,10.19,83.9,0,0,997.5,60.6,2.19,4,1,1,1,0,1,0,1,0,1,0.049801826,01/01/2016 11:00,TRUE,1
0,11.086,78.5,0,0,996.5,63.3,2.969,4,1,1,1,0,1,0,1,0,1,-0.34977016,01/01/2016 12:00,TRUE,0
-0.16370252,11.586,74.6,0,0,995,66.9,4.555,4,1,1,1,0,1,0,1,0,1,0.4739632,01/01/2016 13:00,TRUE,1
0,11.586,73.1,0,0,994.5,65.1,3.877,4,1,1,1,0,1,0,1,0,1,1.6356434,01/01/2016 14:00,TRUE,0
0.11732332,11.14,76.9,0,0,993.5,52.5,1.836,4,1,1,1,0,1,0,1,0,1,0.42682505,01/01/2016 15:00,TRUE,1
0,10.54,77.3,0,0,993,46.8,0.805,4,1,1,1,0,1,0,1,0,1,-0.44546488,01/01/2016 16:00,TRUE,0
-0.1791038,10.04,79.1,0,0,992.5,60.9,2.52,4,1,1,1,0,1,0,1,0,1,-0.03438527,01/01/2016 17:00,TRUE,1.999750008
-0.15468809,9.44,81.8,0,0,992.5,79.5,4.023,4,1,1,1,0,1,0,1,0,1,-0.7611828,01/01/2016 18:00,TRUE,0.99973334
-0.3907267,8.54,86.94,0,0,991.5,42.3,6.297,4,1,1,1,0,1,0,1,0,1,0.4323597,01/01/2016 19:00,TRUE,0.000516652
0,7.64,89,0,0,991,68.4,6.695,4,1,1,1,0,1,0,1,0,1,-0.6728566,01/01/2016 20:00,TRUE,0
0,6.74,90.5,0,0,990.5,79.8,8.164,4,1,1,1,0,1,0,1,0,1,-0.16624619,01/01/2016 21:00,TRUE,0
0.046692837,6.54,91.06,0,0,990,100,6.695,4,1,1,1,0,1,0,1,0,1,-1.1168331,01/01/2016 22:00,TRUE,1
0,6.24,88.9,0,0,989.5,100,6.11,4,1,1,1,0,1,0,1,0,1,0.0500998,01/01/2016 23:00,TRUE,0
0,6.39,87.6,0,0,988.5,100,5.117,5,1,2,1,1,0,0,0,1,0,-0.34962127,02/01/2016 00:00,TRUE,0
0,6.438,88.56,0,0,988,100,5.4,5,1,2,1,1,0,0,0,1,0,0.47414693,02/01/2016 01:00,TRUE,0
